epoch,train_loss,train_acc,val_loss,val_acc,val_roc_auc,lr
1,3.4541534227483415,0.17647058823529413,3.4913362427933574,0.3649228130360206,0.9431283146256508,0.0003
2,2.6933766841888427,0.4022058823529412,3.08789938606628,0.4862778730703259,0.9665834745957586,0.0003
3,2.343377868568196,0.49466911764705884,2.8338854680322623,0.5428816466552315,0.9745865417919438,0.0003
4,2.1477873809197368,0.5496323529411765,2.71380730932706,0.5969125214408233,0.9777467467206582,0.0003
5,1.998558770909029,0.5875,2.590690064920138,0.6346483704974271,0.9814528455553623,0.0003
6,1.9242755644461689,0.6251838235294118,2.5844113100064945,0.6350771869639794,0.9810797527366217,0.0003
7,1.8800097276182737,0.6457720588235294,2.5539761348946453,0.6410806174957119,0.9833044342341399,0.0003
8,1.7951686382293701,0.6693014705882353,2.5414279634005403,0.6560891938250428,0.9833574468355536,0.0003
9,1.7753104490392349,0.6801470588235294,2.4407877032070946,0.7019725557461407,0.985316726318296,0.0003
10,1.717828698719249,0.7082720588235294,2.488452729297011,0.66852487135506,0.9855134555337003,0.0003
11,1.6883114758659812,0.721139705882353,2.4171329810194773,0.7045454545454546,0.9857772952311665,0.0003
12,1.6643381385242237,0.7262867647058824,2.370841778304479,0.7289879931389366,0.9865972134593971,0.0003
13,1.6326040338067447,0.7384191176470588,2.383203472993145,0.7242710120068611,0.9860316590717246,0.0003
14,1.597136981347028,0.7615808823529412,2.315703668822981,0.7512864493996569,0.987738042708644,0.0003
15,1.5797706274425283,0.7628676470588235,2.344245058216461,0.7315608919382505,0.9868259841213133,0.0003
16,1.5661049870883716,0.7704044117647059,2.361812550727635,0.7315608919382505,0.9866953802659157,0.0003
17,1.5371664418893702,0.7827205882352941,2.369407116550289,0.7289879931389366,0.9853149720368372,0.0003
18,1.5288942512343913,0.7832720588235295,2.340297524243185,0.7345626072041166,0.9859432151974838,0.0003
19,1.507094181986416,0.7867647058823529,2.3266629478702807,0.7577186963979416,0.9859151570138991,0.0003
20,1.4851911243270426,0.8009191176470588,2.310772851721881,0.7521440823327615,0.9846465101554156,0.0003
21,1.4776537095799165,0.8112132352941176,2.301910013368685,0.7585763293310464,0.9856028654296592,0.0003
22,1.4425630534396452,0.8237132352941177,2.2949574295788597,0.7590051457975986,0.986022497411304,0.0003
23,1.4606973206295686,0.8143382352941176,2.3271126567500913,0.7414236706689536,0.9868563778246738,0.0003
24,1.446635286247029,0.825735294117647,2.3122903941428823,0.7517152658662093,0.9870696679590075,0.0003
25,1.4307508622898775,0.8261029411764705,2.3104945592684287,0.7568610634648371,0.9863411881487935,0.0003
26,1.4201170251649968,0.8373161764705882,2.318438260522607,0.7427101200686106,0.9854449347418883,0.0003
27,1.4117631260086507,0.8373161764705882,2.294043671594907,0.7671526586620926,0.9852398258161117,0.0003
28,1.4119318692123188,0.83125,2.273967096250351,0.774442538593482,0.9856571391528595,0.0003
29,1.3959828404819263,0.846875,2.2854013398085553,0.7688679245283019,0.9863969345664483,0.0003
30,1.3852612867074854,0.8479779411764706,2.2881167580003607,0.7624356775300172,0.9849722561404668,0.0003
31,1.3668311287375057,0.8610294117647059,2.277060040055889,0.7722984562607204,0.9836503549493016,0.0003
32,1.3697962063200333,0.8566176470588235,2.3525440929687185,0.7362778730703259,0.9837185491703343,0.0003
33,1.3766871108728296,0.8527573529411765,2.255549964022963,0.7667238421955404,0.9862455859056809,0.0003
34,1.3721271192326265,0.8577205882352941,2.2588542716143882,0.7714408233276158,0.9839664203861183,0.00015
35,1.335138921877917,0.8808823529411764,2.248584557885993,0.7778730703259005,0.9854454474662016,0.00015
36,1.3054615311762865,0.8832720588235294,2.2176099117488075,0.7873070325900514,0.9859430477495931,0.00015
37,1.2934168198529412,0.8909926470588235,2.2441009385128545,0.7795883361921098,0.9847518696423044,0.00015
38,1.2887310252470128,0.8946691176470588,2.238451310624815,0.7843053173241853,0.9844999175512157,0.00015
39,1.2843978250727934,0.8987132352941176,2.2329424872790296,0.7804459691252144,0.9848390150683078,0.00015
40,1.2675168479190153,0.9058823529411765,2.2141368127849006,0.7924528301886793,0.9854281106143518,0.00015
41,1.2745102777200588,0.9066176470588235,2.25016226098962,0.7838765008576329,0.9824883221561033,0.00015
42,1.2605538396274343,0.9082720588235295,2.2279659746444387,0.7898799313893653,0.9833785849576024,0.00015
43,1.2734334966715644,0.9047794117647059,2.247701345241233,0.7770154373927959,0.9837367426583388,0.00015
44,1.2552457255475662,0.9130514705882353,2.244099931357658,0.7834476843910806,0.9834751491224953,0.00015
45,1.2546425065573523,0.9123161764705883,2.246931899900306,0.7774442538593482,0.9823061083697944,0.00015
46,1.2511840459178476,0.9099264705882353,2.236100274406067,0.7843053173241853,0.9817037089125176,7.5e-05
47,1.2395391744725845,0.9220588235294118,2.22199351738577,0.7898799313893653,0.9820365797630763,7.5e-05
48,1.2282126381116756,0.9216911764705882,2.211905982396374,0.7933104631217839,0.9841642507755729,7.5e-05
49,1.2199246322407442,0.925,2.2110052839533925,0.7877358490566038,0.9834663010203532,7.5e-05
50,1.2191393512136797,0.9310661764705882,2.2163137720055777,0.7928816466552315,0.9832734781377516,7.5e-05
51,1.2169090919634875,0.9248161764705882,2.227736724566107,0.7898799313893653,0.9814431293172945,7.5e-05
52,1.2200969703057234,0.9314338235294117,2.2190158848893153,0.7903087478559176,0.9817664285782737,7.5e-05
53,1.212120380121119,0.9336397058823529,2.222914083363259,0.7898799313893653,0.9816490813010474,7.5e-05
54,1.2182304620742799,0.9338235294117647,2.2259307397555,0.79073756432247,0.9808394874188849,3.75e-05
55,1.2029493675512426,0.9400735294117647,2.203039078679803,0.7933104631217839,0.9815693748875928,3.75e-05
56,1.19530728319112,0.9387867647058824,2.2142224834389883,0.7928816466552315,0.9810854188857817,3.75e-05
57,1.198150736093521,0.9400735294117647,2.214864516094939,0.7920240137221269,0.9816485557149658,3.75e-05
58,1.2033116168835585,0.9404411764705882,2.2056573874329866,0.7937392795883362,0.9819700802899917,3.75e-05
59,1.2032242431360132,0.9369485294117647,2.21231299148847,0.7903087478559176,0.9822810776290026,3.75e-05
60,1.1924100455115823,0.9400735294117647,2.2128583939924633,0.7941680960548885,0.9812446759928525,3.75e-05
61,1.1947855896809523,0.94375,2.2069182653133184,0.7937392795883362,0.9814411470083353,3.75e-05
62,1.197076458790723,0.94375,2.2082217948077476,0.7954545454545454,0.9805218301715122,3.75e-05
63,1.1891153261942022,0.9470588235294117,2.2101337897450954,0.7920240137221269,0.9811765924283378,3.75e-05
64,1.1844754408387577,0.9509191176470588,2.206117234001421,0.7915951972555746,0.9815913891645188,3.75e-05
65,1.190565792953267,0.9441176470588235,2.2168608691594374,0.7920240137221269,0.9806644733253933,3.75e-05
66,1.1972413992180544,0.9431985294117647,2.2114635730442935,0.7937392795883362,0.9813933444842199,3.75e-05
67,1.1900440756012411,0.9446691176470589,2.2104508946203207,0.7920240137221269,0.981955032137763,3.75e-05
68,1.1880339426152846,0.9441176470588235,2.2079895387773645,0.7984562607204116,0.9814723799738821,3.75e-05
69,1.1907045416972217,0.9463235294117647,2.2123618648476797,0.79073756432247,0.9810252497688279,3.75e-05
70,1.1989837639472063,0.9431985294117647,2.216259527696322,0.7963121783876501,0.9810893701693051,3.75e-05
71,1.1912813842296601,0.9454044117647059,2.216055201749279,0.7945969125214408,0.9812053094342665,3.75e-05
72,1.1889830315814298,0.9439338235294118,2.221911326254884,0.7894511149228131,0.980531273077338,3.75e-05
73,1.1846072175923517,0.9452205882352941,2.2042183100360715,0.7984562607204116,0.9815104839939336,3.75e-05
74,1.1844850908307467,0.9426470588235294,2.2103242882310528,0.7950257289879932,0.9808227183452909,1.875e-05
75,1.1792865549816804,0.9479779411764706,2.2034640230544627,0.7971698113207547,0.9816315898177802,1.875e-05
76,1.1890793505836936,0.9503676470588235,2.205849525863177,0.7967409948542024,0.980960155960586,1.875e-05
77,1.1733325614648706,0.9512867647058824,2.2079164226577705,0.7993138936535163,0.980713161534253,1.875e-05
78,1.1734679306254667,0.95,2.2097929001670993,0.7941680960548885,0.9812296505037388,1.875e-05
79,1.1713597013669856,0.950735294117647,2.209305868573385,0.7975986277873071,0.981224245491888,1.875e-05
80,1.1691013553563285,0.9516544117647059,2.213232364964812,0.7950257289879932,0.980404036904232,1.875e-05
81,1.1823223916923298,0.9534926470588235,2.2177851575694674,0.7971698113207547,0.9803703338179377,1.875e-05
82,1.181561141504961,0.9485294117647058,2.2134101635789216,0.7941680960548885,0.9803219642873977,1.875e-05
83,1.1786833317840801,0.9494485294117647,2.2052900652362877,0.7958833619210978,0.9807171919194637,9.375e-06
84,1.1672117520781125,0.9571691176470588,2.2057785399972576,0.7971698113207547,0.9803526840754969,9.375e-06
85,1.180980735315996,0.9503676470588235,2.206578445761171,0.7984562607204116,0.9798557438621455,9.375e-06
86,1.1723105483195362,0.953125,2.202473310575093,0.7993138936535163,0.9807590599050322,9.375e-06
87,1.170251269200269,0.955514705882353,2.2101578683885807,0.7963121783876501,0.9799872674047239,9.375e-06
88,1.1682171804063461,0.9556985294117647,2.2101008051062285,0.7933104631217839,0.980456205016878,9.375e-06
89,1.175371479988098,0.9542279411764706,2.2027525799731684,0.7975986277873071,0.9811242604118118,9.375e-06
